i,side,s,qty,price,fee,reason,terminal
261,buy,ADANIPOWER.NS,33,72.08640000000001,8.7218551435712,,
261,buy,CHENNPETRO.NS,11,204.9304441218079,8.574032031097193,,
261,buy,ELECON.NS,14,167.37200411790016,8.679574321394643,,
261,buy,ELGIEQUIP.NS,4,427.28899187801767,7.927445246717973,,
261,buy,ABB.NS,1,2967.8595692475474,9.42055218539024,,
261,buy,TVSMOTOR.NS,3,1001.1682972785045,9.462835593822474,,
261,buy,DEEPAKFERT.NS,2,862.268571865804,7.94569079786017,,
261,buy,M&M.NS,2,1221.5277765435744,8.798016016516357,,
261,buy,BDL.NS,5,432.2832579983761,8.463928200011908,,
261,buy,NAVA.NS,26,87.38960664124735,8.595259411718125,,
261,buy,HSCL.NS,27,98.1772554833828,9.044431152701844,,
261,buy,SILVERBEES.NS,91,58.98069184722901,12.700109835768018,,
261,buy,INDIGRID.NS,56,96.34651502186897,12.766747215831668,,
261,buy,LIQUIDBEES.NS,3,867.3812896183849,8.986730712976573,,
261,buy,ADANIPOWER.NS,20,72.08640000000001,7.610215238527999,,
261,buy,CHENNPETRO.NS,7,204.9304441218079,7.60165674706185,,
261,buy,ELECON.NS,9,167.37200411790016,7.686869206610843,,
261,buy,ELGIEQUIP.NS,2,427.28899187801767,6.9137226233589875,,
261,buy,TVSMOTOR.NS,2,1001.1682972785045,8.275223729214982,,
261,buy,DEEPAKFERT.NS,1,862.268571865804,6.922845398930085,,
261,buy,M&M.NS,1,1221.5277765435744,7.349008008258178,,
261,buy,BDL.NS,3,432.2832579983761,7.438356920007145,,
261,buy,NAVA.NS,16,87.38960664124735,7.558621176441923,,
261,buy,HSCL.NS,17,98.1772554833828,7.879827022071531,,
314,sell,DEEPAKFERT.NS,2,706.9182832584336,25.865054209975504,stop,False
314,sell,DEEPAKFERT.NS,1,706.9182832584336,25.132527104987755,stop,False
315,sell,ADANIPOWER.NS,33,57.68283599908776,26.372490995727695,stop,False
315,sell,ADANIPOWER.NS,20,57.68283599908776,25.595449088319814,stop,False
317,sell,CHENNPETRO.NS,11,157.4650415850226,26.1948630719963,stop,False
317,sell,CHENNPETRO.NS,7,157.4650415850226,25.54218559127037,stop,False
324,sell,ABB.NS,1,2603.2149714867537,27.09751903704383,scheduled,False
324,sell,BDL.NS,5,460.9007676230983,26.787986794155064,scheduled,False
324,sell,ELECON.NS,14,183.82560416276075,27.066788186988255,scheduled,False
